assessmentId,internalTaxonId,scientificName,code,name,majorImportance,season,suitability
86109107,22686774,Tachymarptis melba,4.4,Grassland - Temperate,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,3.5,Shrubland - Subtropical/Tropical Dry,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,2.1,Savanna - Dry,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,14.5,Artificial/Terrestrial - Urban Areas,Yes,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,1.9,Forest - Subtropical/Tropical Moist Montane,No,non-breeding,Suitable
86109107,22686774,Tachymarptis melba,4.7,Grassland - Subtropical/Tropical High Altitude,No,breeding,Suitable
86109107,22686774,Tachymarptis melba,5.1,Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls),No,breeding,Suitable
86109107,22686774,Tachymarptis melba,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,breeding,Suitable
86109107,22686774,Tachymarptis melba,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),No,breeding,Suitable
86109107,22686774,Tachymarptis melba,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86111691,22686800,Apus apus,1.6,Forest - Subtropical/Tropical Moist Lowland,No,non-breeding,Suitable
86111691,22686800,Apus apus,8.1,Desert - Hot,No,non-breeding,Suitable
86111691,22686800,Apus apus,6,"Rocky areas (eg. inland cliffs, mountain peaks)",Yes,breeding,Suitable
86111691,22686800,Apus apus,4.5,Grassland - Subtropical/Tropical Dry,No,non-breeding,Suitable
86111691,22686800,Apus apus,4.4,Grassland - Temperate,No,non-breeding,Suitable
86111691,22686800,Apus apus,3.8,Shrubland - Mediterranean-type Shrubby Vegetation,No,non-breeding,Suitable
86111691,22686800,Apus apus,2.1,Savanna - Dry,No,non-breeding,Suitable
86111691,22686800,Apus apus,14.5,Artificial/Terrestrial - Urban Areas,Yes,breeding,Suitable
86111691,22686800,Apus apus,14.1,Artificial/Terrestrial - Arable Land,No,non-breeding,Suitable
86111691,22686800,Apus apus,1.9,Forest - Subtropical/Tropical Moist Montane,No,non-breeding,Suitable
86111691,22686800,Apus apus,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,No,breeding,Suitable
86111691,22686800,Apus apus,4.7,Grassland - Subtropical/Tropical High Altitude,No,breeding,Suitable
86111691,22686800,Apus apus,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,breeding,Suitable
86111691,22686800,Apus apus,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),No,breeding,Suitable
86111691,22686800,Apus apus,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86111691,22686800,Apus apus,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,breeding,Suitable
86147127,22692543,Crex crex,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",Yes,breeding,Suitable
86147127,22692543,Crex crex,4.6,Grassland - Subtropical/Tropical Seasonally Wet/Flooded,Yes,non-breeding,Suitable
86147127,22692543,Crex crex,4.4,Grassland - Temperate,Yes,breeding,Suitable
86147127,22692543,Crex crex,2.1,Savanna - Dry,Yes,non-breeding,Suitable
86147127,22692543,Crex crex,14.2,Artificial/Terrestrial - Pastureland,No,non-breeding,Suitable
86147127,22692543,Crex crex,14.3,Artificial/Terrestrial - Plantations,,breeding,
86160125,22692676,Porzana porzana,5.8,Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha),No,non-breeding,Suitable
86160125,22692676,Porzana porzana,5.7,Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha),No,non-breeding,Suitable
86160125,22692676,Porzana porzana,5.6,Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86160125,22692676,Porzana porzana,5.5,Wetlands (inland) - Permanent Freshwater Lakes (over 8ha),No,non-breeding,Suitable
86160125,22692676,Porzana porzana,5.4,"Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands",No,non-breeding,Suitable
86160125,22692676,Porzana porzana,5.3,Wetlands (inland) - Shrub Dominated Wetlands,No,non-breeding,Suitable
