assessmentId,scientificName,internalTaxonId,AOO.range,EOO.range,DepthLower.limit,DepthUpper.limit,Congregatory.value,NoThreats.noThreats,ElevationLower.limit,ElevationUpper.limit,PopulationSize.range,ThreatsUnknown.value,LocationsNumber.range,GenerationLength.range,MovementPatterns.pattern,SubpopulationNumber.range,AreaRestricted.isRestricted,CropWildRelative.isRelative,YearOfPopulationEstimate.value,InPlaceEducationControlled.value,SevereFragmentation.isFragmented,InPlaceResearchRecoveryPlan.value,InPlaceLandWaterProtectionInPA.value,InPlaceSpeciesManagementExSitu.value,InPlaceResearchMonitoringScheme.value,InPlaceEducationSubjectToPrograms.value,InPlaceSpeciesManagementHarvestPlan.value,InPlaceLandWaterProtectionAreaPlanned.value,InPlaceEducationInternationalLegislation.value,InPlaceLandWaterProtectionInvasiveControl.value,InPlaceLandWaterProtectionSitesIdentified.value,InPlaceLandWaterProtectionPercentProtected.value
92766095,Eudromia formosa,22678294,,292000,,,,,,500,U,,,6.8,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92766253,Tinamotis pentlandii,22678299,,1010000,,,,,4000,5300,U,,,6.8,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over part of range",
92766436,Tinamotis ingoufi,22678302,,508000,,,,,200,800,U,,,6.8,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
92767035,Ortalis garrula,22678312,,118000,,,,,,800,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92767223,Ortalis ruficauda,22678315,,709000,,,,,,1600,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92768145,Ortalis canicollis,22678328,,1270000,,,,,,1200,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92768579,Ortalis motmot,22678342,,2630000,,,,,,1700,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92768812,Ortalis superciliaris,22678348,,438000,,,,,,1000,100000-499999,,,5.7,Not a Migrant,,No,,2007,No,No,Yes,No,No,No,No,,,No,No,"Yes, over entire range",
92769048,Penelope argyrotis,22678354,,523000,,,,,900,2400,,,,5.7,Not a Migrant,,No,,2009,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92769891,Penelope montagnii,22678364,,3100000,,,,,1800,3450,U,,,5.7,Not a Migrant,,No,,,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92770105,Penelope marail,22678367,,1480000,,,,,100,700,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92770503,Penelope dabbenei,22678373,,32900,,,,,1500,2500,U,,,5.7,Not a Migrant,,No,,,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92771552,Penelope jacquacu,22678386,,5880000,,,,,100,1800,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92771775,Penelope obscura,22678389,,3110000,,,,,,2200,U,,,5.7,Not a Migrant,,No,,,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92772529,Penelope jacucaca,22678398,,650000,,,,,800,1600,2500-9999,,,5.7,Not a Migrant,,No,,2003,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92773628,Aburria aburri,22678440,,1880000,,,,,700,2100,6700,,,5.7,Not a Migrant,,No,,2007,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92774138,Chamaepetes goudotii,22678446,,2530000,,,,,500,3300,U,,,5.7,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92775039,Nothocrax urumutum,22678461,,2560000,,,,,,800,U,,,8.5,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92775236,Mitu tomentosum,22678464,,1600000,,,,,,600,U,,,9.5,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92775486,Mitu salvini,22678472,,538000,,,,,,600,,,,10.5,Not a Migrant,,No,,2009,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92776062,Pauxi pauxi,22678497,,249000,,,,,500,2200,1000-2499,,11-100,13.5,Not a Migrant,2-100,No,,2007,No,No,Yes,Yes,Yes,No,Yes,,,No,No,"Yes, over entire range",
92777596,Crax globulosa,22678537,366,1530000,,,,,0,300,250-999,,14,11.5,Not a Migrant,2-100,No,,2008,No,No,Yes,Yes,Yes,No,Yes,,,No,No,"Yes, over entire range",
92777952,Crax blumenbachii,22678544,,77400,,,,,0,500,130-170,,4,11.5,Not a Migrant,2-100,Yes,,2003,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,No,"Yes, over entire range",
92778438,Aepypodius arfakianus,22678555,,685000,,,,,750,2800,6700-670000,,,13.5,Not a Migrant,,No,,2009,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
92779092,Talegalla fuscirostris,22678568,,694000,,,,,,800,6700-670000,,,13.5,Not a Migrant,,No,,2009,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
92779263,Talegalla jobiensis,22678572,,500000,,,,,,1800,6700-670000,,,13.5,Not a Migrant,,No,,2009,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
92780941,Megapodius decollatus,22678607,,510000,,,,,,2950,6700-670000,,,4,Not a Migrant,,No,,2009,No,No,No,No,No,No,No,,,No,No,"Yes, over part of range",
92781287,Megapodius layardi,22678615,,64400,,,,,,800,2500-9999,,11-100,4,Not a Migrant,2-100,No,,2000,No,No,Yes,No,No,No,No,,,No,No,"Yes, over part of range",
92783114,Lerwa lerwa,22678649,,2530000,,,,,3000,5000,,,,5,Not a Migrant,,No,,2009,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92783316,Ammoperdix heyi,22678657,,4200000,,,,,,2000,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92783560,Tetraogallus tibetanus,22678667,,2340000,,,,,3700,5800,,,,5,Altitudinal Migrant,,No,,2009,Yes,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92783743,Tetraogallus altaicus,22678670,,1700000,,,,,400,,,,,5,Not a Migrant,,No,,2009,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92784182,Tetraophasis obscurus,22678676,,202000,,,,,3000,4100,U,,,5,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92784346,Tetraophasis szechenyii,22678680,,657000,,,,,3300,4600,U,,,5,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92784515,Alectoris philbyi,22678698,,104000,,,,,1400,3666,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92784709,Alectoris magna,22678703,,676000,,,,,1300,4000,,,,3.9,Altitudinal Migrant,,No,,2009,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92784875,Alectoris melanocephala,22678714,,1940000,,,,,250,3000,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92785072,Francolinus pictus,22678722,,2380000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92785250,Francolinus pintadeanus,22678725,,3910000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92785771,Ortygornis gularis,22678733,,414000,,,,,,350,10000-19999,,11-100,3.9,Not a Migrant,2-100,No,,2001,No,Yes,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92786419,Campocolinus albogularis,22678740,,6080000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92786646,Campocolinus schlegelii,22678744,,633000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92786819,Peliperdix lathami,22678748,,5250000,,,,,,1400,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92787092,Ortygornis sephaena,22678752,,8750000,,,,,,2200,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92787372,Scleroptila streptophora,22678756,,1720000,,,,,600,1800,6000-15000,,11-100,3.9,Not a Migrant,2-100,No,,2007,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92787669,Scleroptila finschi,22678760,,754000,,,,,,2100,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92787853,Scleroptila afra,22678764,,842000,,,,,1800,2750,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92788045,Scleroptila levaillantii,22678769,,6380000,,,,,1800,3000,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92788267,Scleroptila gutturalis,22678790,,9620000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92788815,Pternistis hartlaubi,22678799,,532000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92788993,Pternistis bicalcaratus,22678803,,7100000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92789284,Pternistis clappertoni,22678807,,4250000,,,,,,2300,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92789533,Pternistis icterorhynchus,22678811,,1740000,,,,,500,1400,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92790026,Pternistis adspersus,22678819,,1970000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92790642,Pternistis natalensis,22678831,,1640000,,,,,,1800,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92790866,Pternistis ahantensis,22678835,,1290000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92791112,Pternistis squamatus,22678839,,8390000,,,,,800,3000,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92791375,Pternistis griseostriatus,22678843,,137000,,,,,300,1200,7500-35000,,11-100,3.9,Not a Migrant,2-100,No,,2012,No,No,Yes,Yes,No,No,No,,,No,No,"Yes, over entire range",
92791674,Pternistis leucoscepus,22678847,,3460000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92791903,Pternistis rufopictus,22678851,,80200,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,Yes,No,No,No,,,No,No,"Yes, over entire range",
92792338,Pternistis swainsonii,22678860,,2670000,,,,,,,U,,,3.9,Not a Migrant,,No,,,No,No,No,No,No,No,No,,,No,No,"Yes, over entire range",
92793729,Pternistis swierstrai,22678896,104,61800,,,,,2000,2500,1000-2499,,6-10,3.9,Not a Migrant,2-100,No,,2009,No,Yes,Yes,No,No,No,No,,,No,No,"Yes, over entire range",
